================================================================================
           MeasurementSet Name:  /lustre/aginsbur/sgrb2/2016.1.00550.S/science_goal.uid___A001_X879_X160/group.uid___A001_X879_X161/member.uid___A001_X879_X162/calibrated/working/uid___A002_Xc44eb5_X1139.ms      MS Version 2
================================================================================
   Observer: keflavich     Project: uid://A002/Xb20942/X1  
Observation: ALMA
Data records: 77571640       Total elapsed time = 5541.41 seconds
   Observed from   07-Sep-2017/02:14:35.5   to   07-Sep-2017/03:46:56.9 (UTC)

   ObservationID = 0         ArrayID = 0
  Date        Timerange (UTC)          Scan  FldId FieldName             nRows     SpwIds   Average Interval(s)    ScanIntent
              02:33:29.1 - 02:34:27.3    20      5 sgr_b2m                 626336  [4,13,14,15,16,25,26,27,28,29,30,31,32]  [1.15, 0.016, 0.016, 0.016, 0.016, 3.02, 1.01, 3.02, 1.01, 3.02, 1.01, 3.02, 1.01] [OBSERVE_TARGET#ON_SOURCE]
              02:34:45.1 - 02:35:04.1    21      1 J1744-3116              313168  [4,13,14,15,16,25,26,27,28,29,30,31,32]  [1.15, 0.016, 0.016, 0.016, 0.016, 3.02, 1.01, 3.02, 1.01, 3.02, 1.01, 3.02, 1.01] [CALIBRATE_PHASE#ON_SOURCE,CALIBRATE_WVR#ON_SOURCE]
              02:35:07.0 - 02:36:05.3    22      4 sgr_b2m                 626336  [4,13,14,15,16,25,26,27,28,29,30,31,32]  [1.15, 0.016, 0.016, 0.016, 0.016, 3.02, 1.01, 3.02, 1.01, 3.02, 1.01, 3.02, 1.01] [OBSERVE_TARGET#ON_SOURCE]
              02:35:07.0 - 02:36:05.3    22      5 sgr_b2m                 313168  [4,13,14,15,16,25,26,27,28,29,30,31,32]  [1.15, 0.016, 0.016, 0.016, 0.016, 3.02, 1.01, 3.02, 1.01, 3.02, 1.01, 3.02, 1.01] [OBSERVE_TARGET#ON_SOURCE]
              02:36:08.1 - 02:36:27.1    23      1 J1744-3116              313168  [4,13,14,15,16,25,26,27,28,29,30,31,32]  [1.15, 0.016, 0.016, 0.016, 0.016, 3.02, 1.01, 3.02, 1.01, 3.02, 1.01, 3.02, 1.01] [CALIBRATE_PHASE#ON_SOURCE,CALIBRATE_WVR#ON_SOURCE]
              02:36:41.5 - 02:36:58.6    24      3 sgr_b2m                 321172  [4,13,14,15,16,17,18,19,20,21,22,23,24]  [1.15, 0.016, 0.016, 0.016, 0.016, 0.576, 0.576, 0.576, 0.576, 0.576, 0.576, 0.576, 0.576] [CALIBRATE_ATMOSPHERE#AMBIENT,CALIBRATE_ATMOSPHERE#HOT,CALIBRATE_ATMOSPHERE#OFF_SOURCE,CALIBRATE_WVR#AMBIENT,CALIBRATE_WVR#HOT,CALIBRATE_WVR#OFF_SOURCE]
              02:37:14.9 - 02:38:13.3    25      4 sgr_b2m                 313168  [4,13,14,15,16,25,26,27,28,29,30,31,32]  [1.15, 0.016, 0.016, 0.016, 0.016, 3.02, 1.01, 3.02, 1.01, 3.02, 1.01, 3.02, 1.01] [OBSERVE_TARGET#ON_SOURCE]
              02:37:14.9 - 02:38:13.3    25      5 sgr_b2m                 626290  [4,13,14,15,16,25,26,27,28,29,30,31,32]  [1.15, 0.016, 0.016, 0.016, 0.016, 3.02, 1.01, 3.02, 1.01, 3.02, 1.01, 3.02, 1.01] [OBSERVE_TARGET#ON_SOURCE]
              02:38:15.9 - 02:38:35.2    26      1 J1744-3116              313168  [4,13,14,15,16,25,26,27,28,29,30,31,32]  [1.15, 0.016, 0.016, 0.016, 0.016, 3.02, 1.01, 3.02, 1.01, 3.02, 1.01, 3.02, 1.01] [CALIBRATE_PHASE#ON_SOURCE,CALIBRATE_WVR#ON_SOURCE]
              02:38:37.8 - 02:39:36.4    27      4 sgr_b2m                 626290  [4,13,14,15,16,25,26,27,28,29,30,31,32]  [1.15, 0.016, 0.016, 0.016, 0.016, 3.02, 1.01, 3.02, 1.01, 3.02, 1.01, 3.02, 1.01] [OBSERVE_TARGET#ON_SOURCE]
              02:38:37.8 - 02:39:36.4    27      5 sgr_b2m                 313122  [4,13,14,15,16,25,26,27,28,29,30,31,32]  [1.15, 0.016, 0.016, 0.016, 0.016, 3.02, 1.01, 3.02, 1.01, 3.02, 1.01, 3.02, 1.01] [OBSERVE_TARGET#ON_SOURCE]
              02:39:40.0 - 02:39:58.2    28      1 J1744-3116              313122  [4,13,14,15,16,25,26,27,28,29,30,31,32]  [1.15, 0.016, 0.016, 0.016, 0.016, 3.02, 1.01, 3.02, 1.01, 3.02, 1.01, 3.02, 1.01] [CALIBRATE_PHASE#ON_SOURCE,CALIBRATE_WVR#ON_SOURCE]
              02:40:01.9 - 02:40:20.1    29      5 sgr_b2m                 313122  [4,13,14,15,16,25,26,27,28,29,30,31,32]  [1.15, 0.016, 0.016, 0.016, 0.016, 3.02, 1.01, 3.02, 1.01, 3.02, 1.01, 3.02, 1.01] [OBSERVE_TARGET#ON_SOURCE]
              02:40:22.7 - 02:40:41.9    30      1 J1744-3116              313168  [4,13,14,15,16,25,26,27,28,29,30,31,32]  [1.15, 0.016, 0.016, 0.016, 0.016, 3.02, 1.01, 3.02, 1.01, 3.02, 1.01, 3.02, 1.01] [CALIBRATE_PHASE#ON_SOURCE,CALIBRATE_WVR#ON_SOURCE]
              02:41:11.0 - 02:41:29.6    31      2 J1752-2956              313168  [4,13,14,15,16,25,26,27,28,29,30,31,32]  [1.15, 0.016, 0.016, 0.016, 0.016, 3.02, 1.01, 3.02, 1.01, 3.02, 1.01, 3.02, 1.01] [CALIBRATE_WVR#ON_SOURCE,OBSERVE_CHECK_SOURCE#ON_SOURCE]
              02:41:30.6 - 02:42:09.5    32      4 sgr_b2m                 313168  [4,13,14,15,16,25,26,27,28,29,30,31,32]  [1.15, 0.016, 0.016, 0.016, 0.016, 3.02, 1.01, 3.02, 1.01, 3.02, 1.01, 3.02, 1.01] [OBSERVE_TARGET#ON_SOURCE]
              02:41:30.6 - 02:42:09.5    32      5 sgr_b2m                 313168  [4,13,14,15,16,25,26,27,28,29,30,31,32]  [1.15, 0.016, 0.016, 0.016, 0.016, 3.02, 1.01, 3.02, 1.01, 3.02, 1.01, 3.02, 1.01] [OBSERVE_TARGET#ON_SOURCE]
              02:42:12.1 - 02:42:31.3    33      1 J1744-3116              313168  [4,13,14,15,16,25,26,27,28,29,30,31,32]  [1.15, 0.016, 0.016, 0.016, 0.016, 3.02, 1.01, 3.02, 1.01, 3.02, 1.01, 3.02, 1.01] [CALIBRATE_PHASE#ON_SOURCE,CALIBRATE_WVR#ON_SOURCE]
